gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ELF3	4685.37055162332	-1.89127162677497	0.0484050675143553	-39.0717692153632	0	0
LBH	7779.32284374756	1.85724296412166	0.044448496453869	41.7841572222631	0	0
MARCHF4	2192.81730716924	3.22293850778694	0.0690787254048561	46.6560216462878	0	0
TNS1	2183.25379127558	3.23236512395231	0.0692331339989849	46.6881236952194	0	0
F2RL1	11797.2676904177	1.95563497649735	0.0423865226565361	46.1381319799251	0	0
TGFBI	51441.3262003822	1.59936343531251	0.0361861976973885	44.198162202268	0	0
ADAM19	3039.68324860836	3.5009655525667	0.0750076595904313	46.6747739055348	0	0
SERPINE1	47037.3816170415	2.935462960938	0.0375910680507351	78.0893737037779	0	0
MUC5AC	13244.50706778	-2.44988746127775	0.0515766306357646	-47.4999516462973	0	0
EHF	2016.42703558912	-2.83491708275645	0.064870215653145	-43.7013667090993	0	0
PHLDB1	2278.59011946561	2.21113226925345	0.0569376659894355	38.8342625365731	0	0
NTS	5103.4451152474	-2.44671617517592	0.0562282354476815	-43.5140131233979	0	0
ULK1	9390.12565488297	2.04124385476287	0.049403034850067	41.3181874546337	0	0
COL4A1	4069.20133194506	2.11535758798677	0.0527889882555428	40.0719479173702	0	0
FRMD6	2749.58179691681	2.92460937279055	0.0597449355542888	48.9515863672332	0	0
LINC02086	1583.72810166983	3.28421414273175	0.0728904402766411	45.0568569796968	0	0
COL1A1	3186.00655885765	3.42675132039438	0.0638347074737697	53.6816327043163	0	0
ARHGEF18	6362.59225781079	2.1128831381164	0.0538648912612382	39.2256085298524	0	0
ANGPTL4	3319.59389774167	5.03370554990787	0.0810343415389365	62.1181767422544	0	0
JUNB	8539.20936316226	2.72013144625958	0.0645900978896951	42.1137532707402	0	0
IL11	4702.22895604928	3.50469403821393	0.0579167836608836	60.5125805800049	0	0
PMEPA1	26916.6940594958	2.63593015453537	0.0440296273081372	59.8671920633819	0	0
PCDH1	1079.63687679191	3.4563352744087	0.0904319988107002	38.2202684875272	1.29741638597911e-319	1.03302550531659e-316
GREM1	1435.73850967734	2.87827124806882	0.0755035342484981	38.1210134958163	5.74874034743749e-318	4.38652841800122e-315
TGFBR1	6062.11573516946	2.08846290674474	0.0549323135006288	38.0188412548988	2.81843097435218e-316	2.0645570573542e-313
PLEK2	1711.83812971989	2.56872812349733	0.0676300499416983	37.9820527370858	1.14172714099746e-315	8.04171120505609e-313
VGLL3	3466.92132514433	2.33825192205699	0.0625995984797767	37.3525067067703	2.30866143044951e-305	1.56587099169711e-302
PGM2L1	5516.53654520959	2.16233961531679	0.0588945638514065	36.7154364326811	4.14224174425148e-295	2.70917403794562e-292
TNS4	19496.3022515186	1.65426819826243	0.045965507128166	35.9893385631495	1.22820227717899e-283	7.75588562137201e-281
NIPAL4	962.783296733685	3.03668660426293	0.0859176078478914	35.3441707739242	1.23220198213619e-273	7.52177163295336e-271
NRP2	4898.57132986859	1.8874369918478	0.053630824960716	35.1931374024234	2.54632683637062e-271	1.5042220436921e-268
BMF	1078.5550100771	3.46941304588915	0.0988982200639233	35.0806419331579	1.33031937027854e-269	7.61316832122213e-267
JUN	4921.8053782562	2.31693925606573	0.0660975983220778	35.0533047324328	3.47234527930671e-269	1.92694118484678e-266
DAPK1	2212.53476282609	-2.12060799164039	0.060932625778296	-34.8025046443304	2.22906062924022e-265	1.20061139127283e-262
GPAM	2627.12527742512	2.12470617092036	0.0613939348330818	34.6077536274067	1.93147989409597e-262	1.01060546573084e-259
GADD45B	1256.94549850865	2.4883725133965	0.0724885385612554	34.3278063371872	3.01987716074652e-258	1.53619473457642e-255
RAI14	6848.62008439834	1.54712749385352	0.0451184869792041	34.2903230457753	1.09388808787411e-257	5.41415474411853e-255
XBP1	6141.03614824052	-1.53378587405865	0.0455536268415344	-33.6698959095874	1.59501338265865e-248	7.68670528332313e-246
THBS1	7859.87229913955	1.64975694257418	0.0497820968505628	33.1395631551331	8.00652376723961e-241	3.75957614742202e-238
GRB10	7289.1818040923	1.59668420505533	0.0484721185842876	32.940260332935	5.83264308883628e-238	2.67032982214647e-235
EPHB2	4542.18285348471	1.64384592174098	0.0499450329657753	32.9131011459622	1.42756524449964e-237	6.3763420298834e-235
MCL1	13671.6122097939	1.27488857162994	0.0389687567402323	32.7156593711319	9.35335854283796e-235	3.98344313941841e-232
NCOR2	21940.585204305	1.65455146180065	0.0505730283177051	32.7160843801282	9.22408478426921e-235	3.98344313941841e-232
FURIN	8950.91104463712	1.61910750554814	0.0499104781978493	32.4402322720664	7.43860117033492e-231	3.0959796189169e-228
CHST11	2787.70199253252	1.74377644839917	0.0539478908146756	32.3233479950028	3.28720440993965e-229	1.33774609687166e-226
SH2B3	1544.89625135691	2.1401868733949	0.0663622775735205	32.2500515601481	3.51211427784495e-228	1.39820323413423e-225
TUFT1	1846.03285291328	1.93494213077936	0.0603933076914291	32.0390156582525	3.12260057553652e-225	1.21668477318724e-222
ITGA5	3985.17211781926	1.55002852863922	0.0486527812656534	31.8589911679615	9.88207800661252e-223	3.77021863614782e-220
LAMC2	3064.33873273956	1.72849718960925	0.0542763604804434	31.8462250288882	1.48464034014775e-222	5.54861603043384e-220
TOB1	4862.30974684571	-1.60998792997571	0.050687941674054	-31.7627403442154	2.11783519902451e-221	7.75678319994717e-219
CEACAM6	14214.8706565907	-1.49620378885026	0.0472293388633622	-31.6795412525017	2.97307593691624e-220	1.06756744377936e-217
RNF43	2253.98725521579	-1.83431112069363	0.0579838991104056	-31.6348356843158	1.22589840124109e-219	4.31728411960156e-217
GJA1	8974.11784661485	1.42101381218187	0.0450146106627055	31.5678352264229	1.0207205202683e-218	3.52687828069311e-216
CCN2	2343.36234106645	1.95267742793755	0.0622042160509839	31.3914000031299	2.65128771369491e-216	8.99130220386941e-214
