gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
WASH7P	340.27254154526	-0.0411351310412228	0.112233408533079	-0.366514138516062	0.713981464489286	0.808955179062816
LOC100996442	43.8515981117799	-0.578739586059443	0.288125965860767	-2.00863391236009	0.0445759721042308	0.0952754175005578
LOC729737	46.6772744085035	-0.572028942435898	0.280626645856201	-2.03839853015604	0.0415100931792722	0.0896326301605957
DDX11L17	19.3141764635509	-0.306007888927893	0.434219889381411	-0.704730244770298	0.480978125695316	0.617292901805195
WASH9P	388.814811927229	-0.048427124468256	0.102183655146738	-0.473922413508436	0.63555523540548	0.748676381447353
LOC100132287	72.8056193033815	-0.381819726188764	0.234110715885138	-1.63093656240878	0.102903705872893	0.190158987452098
MIR12136	18859.9554776274	-0.243728372615981	0.116621653171963	-2.08990668530993	0.0366261829368798	0.0808992025235895
LOC100133331	127.937293905323	-0.261901721051581	0.176187117536427	-1.48649756414473	0.13714756068277	0.239380792869193
LOC107984841	27.072005030516	-0.440366077043127	0.392310664109828	-1.12249326192124	0.261652770878661	0.394569103516216
LOC107984847	32.7431295433622	-0.443448396089418	0.363429379945427	-1.22017762063157	0.222397548640091	0.349293851479073
LOC100288069	36.9135224191537	-0.428789408825822	0.311195196103623	-1.37787926740052	0.168240567062215	0.281523163798459
LINC01409	14.0330497673638	0.669736832703745	0.530573529351258	1.26228844006342	0.206845014817244	0.330738911756587
LINC00115	25.7957548796133	1.05771506602401	0.391121678769187	2.7043120426168	0.0068445979901102	0.0190176184179773
LINC01128	447.965874629153	0.0066835972485208	0.0989219306021829	0.067564363208792	0.946132424586438	0.966942328174031
LOC284600	95.2892439168611	-0.623090527693307	0.207136036193043	-3.00812229076648	0.00262867336502973	0.00814119657260097
LINC02593	200.997440821434	0.505691984124267	0.143257324383075	3.52995552794235	0.000415629524184701	0.00154609455136998
LOC107985728	297.519748288168	0.958058300575161	0.130754297744869	7.3271648970541	2.35072519255125e-13	2.51747546498193e-12
SAMD11	1803.00742720762	0.757747708066546	0.0657426021296682	11.5259768174675	9.75989514691444e-31	2.39588417996574e-29
NOC2L	4387.91362132769	0.0972364627478428	0.0473277907926532	2.05453204384383	0.0399242252600321	0.0868064221402849
KLHL17	447.59573700166	-0.180071743591718	0.0996750950436114	-1.80658712703439	0.0708266781380505	0.140176046335472
PLEKHN1	385.282038448511	1.10983693249619	0.107307308797744	10.3426033597399	4.52086250854826e-25	8.78880627590705e-24
PERM1	71.9396820334724	1.52449722732934	0.256675903580373	5.93938584052545	2.86091814209969e-09	2.21905946362862e-08
HES4	507.117362816064	0.350168000342426	0.101461583890297	3.45123727539121	0.000558022750313088	0.00201878123794618
ISG15	1906.54826526845	0.219907668975094	0.065211593784081	3.37221736526206	0.000745655743962812	0.00261995273200134
AGRN	11986.99208409	-0.29290477410831	0.0505080230795218	-5.79917320555488	6.66426721337704e-09	4.98948182659746e-08
LOC100288175	89.221392987322	1.33882869309579	0.218138521383513	6.13751612784601	8.38217122274875e-10	6.83753681969701e-09
LOC112267874	25.4422993460468	0.9022309672962	0.384885161596233	2.34415627652254	0.0190701790503482	0.046452805127564
LOC105378948	82.1329108719452	1.15564223710383	0.221557360149523	5.21599569666258	1.82832419946458e-07	1.17481056367701e-06
C1orf159	515.426318677429	-0.0773996266476208	0.10640839463947	-0.72738271176691	0.466991542128407	0.604041256603865
SDF4	5056.03493639577	0.0509542977763604	0.0550227480219536	0.926058759479443	0.354415444566821	0.494620487452537
B3GALT6	1149.19537007095	-0.0148710112642794	0.0860839766216847	-0.172750049984719	0.86284790095647	0.915647772510623
C1QTNF12	13.3314666848176	-0.317630013968553	0.537627661687406	-0.590799240075622	0.554654944234433	0.682162256129292
UBE2J2	1503.93353558069	0.116701028264563	0.0708736014382261	1.64660784687625	0.0996386765332264	0.185247013538373
LINC01786	38.1466047621885	-0.675852350646653	0.334985374205008	-2.01755778815895	0.0436373368503224	0.0935530964340849
SCNN1D	119.90399894923	-0.939157646948707	0.185846747115735	-5.05339835926131	4.34017332975749e-07	2.65026989622704e-06
ACAP3	1301.29351380063	-0.420284799943104	0.0734238808383814	-5.72408860910286	1.03990467075704e-08	7.6696634053861e-08
PUSL1	432.286368295091	0.0906306230614545	0.103287175212363	0.877462500790774	0.380235478225918	0.520967552951612
INTS11	2030.47356469038	-0.0691013906508917	0.0627225683775161	-1.10169899668302	0.270592553300186	0.404864263615918
CPTP	1032.85407725032	0.260593353020037	0.075153605736929	3.46747638339842	0.000525369904984218	0.00191274335387197
TAS1R3	52.6833386080365	0.225674313650633	0.290569288303802	0.776662650646962	0.437357827932678	0.57629399215219
DVL1	2970.83083764095	0.725839348409719	0.0610744757959636	11.8844957562074	1.42492378129036e-32	3.71718364768809e-31
MXRA8	226.99575448205	0.489824113519058	0.138297441550811	3.54181616106828	0.000397382321898938	0.0014851556042725
AURKAIP1	2829.64056488617	-0.0771233740780638	0.0613086440830615	-1.25795269544008	0.20840886453761	0.332513637940168
CCNL2	2842.74707510119	-0.000443629335768347	0.0498284800599352	-0.00890312799496866	0.992896425475041	0.995767276989807
MRPL20-AS1	550.904768635999	-0.0178175016883025	0.0890195877484154	-0.200152597186339	0.841361238913717	0.899413248977112
MRPL20	1809.09258316099	-0.0414369398686065	0.0602300925507427	-0.687977356729059	0.491467040637152	0.626277636572831
VWA1	1034.53631004333	-0.172688689447527	0.076177353865372	-2.26692948343571	0.0233945337954979	0.0552591380622925
ATAD3C	31.8459753960936	0.0586128883632989	0.332911871409027	0.176061274460486	0.860245804134123	0.913950538748006
