Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR28515580_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 1.5707883629714918e-05)	(21.0, 6.283153451885967e-05)	(22.0, 7.853941814857459e-05)	(23.0, 4.712365088914475e-05)	(24.0, 3.1415767259429835e-05)	(25.0, 7.853941814857459e-05)	(26.0, 0.00010995518540800442)	(27.0, 7.853941814857459e-05)	(28.0, 4.712365088914475e-05)	(29.0, 3.1415767259429835e-05)	(30.0, 0.00012566306903771934)	(31.0, 0.000188494603556579)	(32.0, 0.00015707883629714918)	(33.0, 0.00023561825444572376)	(34.0, 0.0005340680434103072)	(35.0, 0.000973888785042325)	(36.0, 0.002136272173641229)	(37.0, 0.0034243186312778525)	(38.0, 0.00482232027432248)	(39.0, 0.006078950964699673)	(40.0, 0.008670751763602635)	(41.0, 0.01440412928844858)	(42.0, 0.02346757814279409)	(43.0, 0.032248285091804725)	(44.0, 0.04258407252015714)	(45.0, 0.05582581842000681)	(46.0, 0.07217772527854004)	(47.0, 0.09906962205261198)	(48.0, 0.1378523867343781)	(49.0, 0.19187179853696773)	(50.0, 0.2644108051389912)	(51.0, 0.36366892179515975)	(52.0, 0.49764146127299835)	(53.0, 0.6803869794211017)	(54.0, 0.9239220072162017)	(55.0, 1.2493422323730057)	(56.0, 1.67777475837348)	(57.0, 2.1860818726310547)	(58.0, 2.7892803118957374)	(59.0, 3.547122865494963)	(60.0, 4.4076949780325245)	(61.0, 5.24545924353974)	(62.0, 6.008312612016845)	(63.0, 6.679777513536268)	(64.0, 7.19542020944892)	(65.0, 7.413728376134698)	(66.0, 7.37012329117861)	(67.0, 7.097591510203055)	(68.0, 6.566068143940762)	(69.0, 5.8864822665847765)	(70.0, 5.074494638113923)	(71.0, 4.169767664693233)	(72.0, 3.2795076520955107)	(73.0, 2.505501686241308)	(74.0, 1.869803635746745)	(75.0, 1.3499198112540702)	(76.0, 0.9521961977496887)	(77.0, 0.6561497149804516)	(78.0, 0.44891560625362265)	(79.0, 0.30298936733357107)	(80.0, 0.20079387643864582)	(81.0, 0.13874773610127186)	(82.0, 0.09844130670742339)	(83.0, 0.06894190125081878)	(84.0, 0.04764201104892535)	(85.0, 0.03187129588469157)	(86.0, 0.02184966612893345)	(87.0, 0.01437271352118915)	(88.0, 0.0085293808109352)	(89.0, 0.004838028157952195)	(90.0, 0.0027488796352001105)	(91.0, 0.0015707883629714917)	(92.0, 0.0009267651341531801)	(93.0, 0.0007068547633371713)	(94.0, 0.0004398207416320177)	(95.0, 0.00020420248718629392)	(96.0, 0.00021991037081600884)	(97.0, 0.00014137095266743426)	(98.0, 3.1415767259429835e-05)	(99.0, 1.5707883629714918e-05)	(100.0, 0.0)
SRR28515580_2	(0.0, 3.1419064019799036e-05)	(1.0, 1.5709532009899518e-05)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 3.1419064019799036e-05)	(5.0, 3.1419064019799036e-05)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 4.712859602969856e-05)	(9.0, 7.85476600494976e-05)	(10.0, 3.1419064019799036e-05)	(11.0, 1.5709532009899518e-05)	(12.0, 3.1419064019799036e-05)	(13.0, 6.283812803959807e-05)	(14.0, 4.712859602969856e-05)	(15.0, 0.00010996672406929664)	(16.0, 0.0002513525121583923)	(17.0, 0.00028277157617819133)	(18.0, 0.0002670620441682918)	(19.0, 0.00028277157617819133)	(20.0, 0.0003141906401979904)	(21.0, 0.0003613192362276889)	(22.0, 0.00045557642828708604)	(23.0, 0.0003613192362276889)	(24.0, 0.00045557642828708604)	(25.0, 0.0006440908124058802)	(26.0, 0.0006598003444157797)	(27.0, 0.0008483147285345741)	(28.0, 0.0008797337925543731)	(29.0, 0.0008483147285345741)	(30.0, 0.0009739909846137702)	(31.0, 0.0011310863047127653)	(32.0, 0.001241053028782062)	(33.0, 0.0014766960089305549)	(34.0, 0.001995110565257239)	(35.0, 0.0025292346535938223)	(36.0, 0.003943092534484779)	(37.0, 0.00521556462728664)	(38.0, 0.0068650654883260906)	(39.0, 0.008671661669464535)	(40.0, 0.012190596839682027)	(41.0, 0.01794028555530525)	(42.0, 0.025370894195987724)	(43.0, 0.03437245603766015)	(44.0, 0.045353418912579914)	(45.0, 0.0620369419070932)	(46.0, 0.08124969955520031)	(47.0, 0.10671485094324742)	(48.0, 0.14169997872929366)	(49.0, 0.1952223542870213)	(50.0, 0.27205767534743985)	(51.0, 0.37398111902766795)	(52.0, 0.507480722047794)	(53.0, 0.6950525342459943)	(54.0, 0.9397599143641991)	(55.0, 1.2613026155428226)	(56.0, 1.683040711880585)	(57.0, 2.1868768225020823)	(58.0, 2.7982918083273716)	(59.0, 3.556622337509241)	(60.0, 4.400114239716776)	(61.0, 5.2405742022464)	(62.0, 6.0125406052128625)	(63.0, 6.673047878569088)	(64.0, 7.157592683882428)	(65.0, 7.378672927857745)	(66.0, 7.34505452935656)	(67.0, 7.050280870722806)	(68.0, 6.536610593063111)	(69.0, 5.856026537798234)	(70.0, 5.037010086462122)	(71.0, 4.158250284892364)	(72.0, 3.282522423000514)	(73.0, 2.5017115535124783)	(74.0, 1.8678947750410724)	(75.0, 1.3567066034389423)	(76.0, 0.9546054221135543)	(77.0, 0.6592190917314135)	(78.0, 0.4489941343749381)	(79.0, 0.302675553234734)	(80.0, 0.20656463639816877)	(81.0, 0.14437059917097658)	(82.0, 0.10300740138891114)	(83.0, 0.07298648571799317)	(84.0, 0.05115023622423283)	(85.0, 0.03619476175080849)	(86.0, 0.0260935326684431)	(87.0, 0.018772890751829925)	(88.0, 0.013855807232731375)	(89.0, 0.009991262358296095)	(90.0, 0.0071164180004844825)	(91.0, 0.005891074503712319)	(92.0, 0.005341240883365837)	(93.0, 0.004744278666989655)	(94.0, 0.004053059258554076)	(95.0, 0.004005930662524378)	(96.0, 0.003880254406445181)	(97.0, 0.0035032256382075927)	(98.0, 0.003754578150365985)	(99.0, 0.004021640194534277)	(100.0, 0.012489077947870119)
SRR34502717_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0209864791781549e-05)	(9.0, 2.0419729583563098e-05)	(10.0, 1.5314797187672323e-05)	(11.0, 2.0419729583563098e-05)	(12.0, 4.0839459167126196e-05)	(13.0, 0.00010720358031370627)	(14.0, 0.00027566634937810185)	(15.0, 0.0005360179015685313)	(16.0, 0.001015881546782264)	(17.0, 0.0017356770146028633)	(18.0, 0.0030884840995139187)	(19.0, 0.005232555705788044)	(20.0, 0.007805441633316995)	(21.0, 0.011087913163874762)	(22.0, 0.015804870697677838)	(23.0, 0.020021544856683615)	(24.0, 0.02547871758789086)	(25.0, 0.03371807847485856)	(26.0, 0.04036980538670425)	(27.0, 0.04712873587886363)	(28.0, 0.05557229406166698)	(29.0, 0.06527166561385944)	(30.0, 0.07328640947540796)	(31.0, 0.08087233901570165)	(32.0, 0.08877987929693647)	(33.0, 0.09530398289888486)	(34.0, 0.10531475532722667)	(35.0, 0.11684679760954393)	(36.0, 0.12744974219580907)	(37.0, 0.13852744549489204)	(38.0, 0.14686890502977756)	(39.0, 0.15137145540295324)	(40.0, 0.15426084713902743)	(41.0, 0.15890633561928802)	(42.0, 0.16891710804762983)	(43.0, 0.17755975859387294)	(44.0, 0.1868252108924147)	(45.0, 0.20538674508387353)	(46.0, 0.23110539449437126)	(47.0, 0.26360339412661193)	(48.0, 0.30947631663608643)	(49.0, 0.36647288683620693)	(50.0, 0.4569578135533709)	(51.0, 0.5873122622824418)	(52.0, 0.7599610759114678)	(53.0, 0.9950636324718215)	(54.0, 1.2899959967120151)	(55.0, 1.6542073984968424)	(56.0, 2.1073518275504832)	(57.0, 2.607170653499753)	(58.0, 3.1858453701683476)	(59.0, 3.869987990136045)	(60.0, 4.588348971953399)	(61.0, 5.272057672667447)	(62.0, 5.87069777993637)	(63.0, 6.374299360790996)	(64.0, 6.702092174863537)	(65.0, 6.788967914376806)	(66.0, 6.661257820628808)	(67.0, 6.3311728919105095)	(68.0, 5.825784584717323)	(69.0, 5.223167735112001)	(70.0, 4.511621838043161)	(71.0, 3.745442954473498)	(72.0, 2.986176149367872)	(73.0, 2.303222978648416)	(74.0, 1.7328131475287685)	(75.0, 1.2531485946784755)	(76.0, 0.8876150154031126)	(77.0, 0.6083445837535119)	(78.0, 0.4071694078962481)	(79.0, 0.2645120720930805)	(80.0, 0.16900899683075588)	(81.0, 0.1079080609843392)	(82.0, 0.06781902687940894)	(83.0, 0.0442699737371648)	(84.0, 0.02891433709032535)	(85.0, 0.01773964007572044)	(86.0, 0.010490636073555541)	(87.0, 0.006217807658194963)	(88.0, 0.003731705581396156)	(89.0, 0.0023942132936727732)	(90.0, 0.0015723191779343584)	(91.0, 0.0011537147214713151)	(92.0, 0.0008321039805301962)	(93.0, 0.0006023820227151114)	(94.0, 0.0004900735100055143)	(95.0, 0.0004594439156301697)	(96.0, 0.0004594439156301697)	(97.0, 0.0004186044564630435)	(98.0, 0.0007402151974041623)	(99.0, 0.0009801470200110286)	(100.0, 0.0005360179015685313)
SRR34502717_2	(0.0, 0.0003675979932008667)	(1.0, 0.0002450653288005778)	(2.0, 0.00013274371976697963)	(3.0, 8.168844293352592e-05)	(4.0, 4.084422146676296e-05)	(5.0, 5.616080451679908e-05)	(6.0, 6.126633220014445e-05)	(7.0, 6.637185988348982e-05)	(8.0, 7.147738756683519e-05)	(9.0, 5.616080451679908e-05)	(10.0, 6.126633220014445e-05)	(11.0, 8.67939706168713e-05)	(12.0, 0.00010211055366690742)	(13.0, 0.00016848241355039723)	(14.0, 0.0002705929672173046)	(15.0, 0.0005616080451679908)	(16.0, 0.0010823718688692185)	(17.0, 0.0021494271546884007)	(18.0, 0.0034921809354082336)	(19.0, 0.004845145771494757)	(20.0, 0.006575919656148838)	(21.0, 0.010272321698890885)	(22.0, 0.015291055411619384)	(23.0, 0.019988140880297125)	(24.0, 0.02605861329579477)	(25.0, 0.03339525657676207)	(26.0, 0.04219208077516614)	(27.0, 0.04966657330358376)	(28.0, 0.05611996029533231)	(29.0, 0.06432454328246832)	(30.0, 0.07188582978150282)	(31.0, 0.08227557861711064)	(32.0, 0.09134810131041536)	(33.0, 0.09686717673611171)	(34.0, 0.10566910646219914)	(35.0, 0.11685531761640884)	(36.0, 0.12733696595031688)	(37.0, 0.137272322822107)	(38.0, 0.1452522625911758)	(39.0, 0.15087344857053905)	(40.0, 0.15750042350352134)	(41.0, 0.16287143862640066)	(42.0, 0.17381768997949315)	(43.0, 0.18418701670436757)	(44.0, 0.18842460468154423)	(45.0, 0.20076466509219001)	(46.0, 0.22592981104339935)	(47.0, 0.2584520223863093)	(48.0, 0.30280884689921395)	(49.0, 0.3605829981639502)	(50.0, 0.44675409440345326)	(51.0, 0.5645743567520145)	(52.0, 0.7238515038893399)	(53.0, 0.9430777570845069)	(54.0, 1.2180461615264384)	(55.0, 1.5695157927756171)	(56.0, 2.034032017989429)	(57.0, 2.566594716166868)	(58.0, 3.1830361286539874)	(59.0, 3.9164604969496004)	(60.0, 4.685016001234312)	(61.0, 5.422846439920652)	(62.0, 6.0806119934767695)	(63.0, 6.6167689831432845)	(64.0, 6.923018955701073)	(65.0, 6.956761388160301)	(66.0, 6.789504301253907)	(67.0, 6.453897544516883)	(68.0, 5.905007368808105)	(69.0, 5.221571222060127)	(70.0, 4.447348582046902)	(71.0, 3.619921238045534)	(72.0, 2.844023984952172)	(73.0, 2.174770994108527)	(74.0, 1.617129943950496)	(75.0, 1.150260070474662)	(76.0, 0.7902539969389298)	(77.0, 0.5293717433753481)	(78.0, 0.3478242844832701)	(79.0, 0.216596906438244)	(80.0, 0.13533222230243575)	(81.0, 0.08318436254474612)	(82.0, 0.048180864747730257)	(83.0, 0.02880538718943458)	(84.0, 0.01773660317194182)	(85.0, 0.009761768930556348)	(86.0, 0.005457809093496201)	(87.0, 0.003665768876641976)	(88.0, 0.0024506532880057778)	(89.0, 0.001679718607820627)	(90.0, 0.001281487448519688)	(91.0, 0.0011895879502194712)	(92.0, 0.0011027939796026001)	(93.0, 0.0008475175954353316)	(94.0, 0.0010006834259356926)	(95.0, 0.001199799005586162)	(96.0, 0.0011385326733860176)	(97.0, 0.0012202211163195435)	(98.0, 0.0015367638326869565)	(99.0, 0.002430231177272396)	(100.0, 0.013488804139398467)
SRR35497378_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0641069078415316e-05)	(14.0, 2.128213815683063e-05)	(15.0, 2.128213815683063e-05)	(16.0, 3.1923207235245944e-05)	(17.0, 4.256427631366126e-05)	(18.0, 7.448748354890721e-05)	(19.0, 0.0001383338980193991)	(20.0, 0.00017025710525464505)	(21.0, 0.0002128213815683063)	(22.0, 0.00025538565788196755)	(23.0, 0.0002873088651172135)	(24.0, 0.00030859100327404416)	(25.0, 0.0004256427631366126)	(26.0, 0.0005639766611560117)	(27.0, 0.0005107713157639351)	(28.0, 0.0004362838322150279)	(29.0, 0.0008087212499595639)	(30.0, 0.001383338980193991)	(31.0, 0.002234624506467216)	(32.0, 0.01179030453888417)	(33.0, 0.03875477358358858)	(34.0, 0.07689236516062907)	(35.0, 0.10935826691887421)	(36.0, 0.12899103936855047)	(37.0, 0.13474785773997314)	(38.0, 0.12800141994425782)	(39.0, 0.11773278828358705)	(40.0, 0.10718748882687747)	(41.0, 0.10000476719894712)	(42.0, 0.09593987881099249)	(43.0, 0.09297102053811461)	(44.0, 0.09459910410711216)	(45.0, 0.0999196386463198)	(46.0, 0.1098477560964813)	(47.0, 0.12799077887517943)	(48.0, 0.15346549824890568)	(49.0, 0.18715512295116857)	(50.0, 0.23776404748811178)	(51.0, 0.3055050932413037)	(52.0, 0.39544340909206993)	(53.0, 0.5284354904341045)	(54.0, 0.7160268972174881)	(55.0, 0.9702846017771436)	(56.0, 1.3094899607897887)	(57.0, 1.7277691041241379)	(58.0, 2.255151128719479)	(59.0, 2.920175381844123)	(60.0, 3.6869176142893383)	(61.0, 4.514750224313737)	(62.0, 5.312011042875847)	(63.0, 6.042669410076156)	(64.0, 6.641218904667939)	(65.0, 7.021126352905522)	(66.0, 7.200375161531429)	(67.0, 7.126707040301559)	(68.0, 6.8022076387552834)	(69.0, 6.261173122532336)	(70.0, 5.550860479409956)	(71.0, 4.743884364779253)	(72.0, 3.8650065463856973)	(73.0, 3.0443353758510727)	(74.0, 2.363498494075904)	(75.0, 1.7791867499110405)	(76.0, 1.3022114695401525)	(77.0, 0.9435648773212427)	(78.0, 0.6820073993737944)	(79.0, 0.49206431632408104)	(80.0, 0.35726325323871577)	(81.0, 0.26833583895039903)	(82.0, 0.20505340114106313)	(83.0, 0.15776449015658545)	(84.0, 0.11607278150735426)	(85.0, 0.08395803502869684)	(86.0, 0.06278230756265035)	(87.0, 0.04038285715258612)	(88.0, 0.021771627334437733)	(89.0, 0.01179030453888417)	(90.0, 0.005810023716814762)	(91.0, 0.0024048816117218613)	(92.0, 0.0009364140789005477)	(93.0, 0.0002766677960387982)	(94.0, 7.448748354890721e-05)	(95.0, 8.512855262732253e-05)	(96.0, 5.3205345392076576e-05)	(97.0, 2.128213815683063e-05)	(98.0, 2.128213815683063e-05)	(99.0, 1.0641069078415316e-05)	(100.0, 2.128213815683063e-05)
SRR35497378_2	(0.0, 6.385122494318305e-05)	(1.0, 8.513496659091073e-05)	(2.0, 8.513496659091073e-05)	(3.0, 5.320935411931921e-05)	(4.0, 2.1283741647727683e-05)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0641870823863842e-05)	(9.0, 2.1283741647727683e-05)	(10.0, 4.256748329545537e-05)	(11.0, 6.385122494318305e-05)	(12.0, 5.320935411931921e-05)	(13.0, 9.577683741477458e-05)	(14.0, 0.0001489861915340938)	(15.0, 0.0001489861915340938)	(16.0, 0.00021283741647727683)	(17.0, 0.00034053986636364294)	(18.0, 0.0003511817371875068)	(19.0, 0.0005001679287216006)	(20.0, 0.0007236472160227413)	(21.0, 0.0006597959910795582)	(22.0, 0.0006491541202556944)	(23.0, 0.001074828953210248)	(24.0, 0.0013834432071022995)	(25.0, 0.0012770244988636612)	(26.0, 0.0015111456569886655)	(27.0, 0.0018410436525284448)	(28.0, 0.0019048948774716278)	(29.0, 0.0019368204899432194)	(30.0, 0.0019048948774716278)	(31.0, 0.0021177322939489045)	(32.0, 0.002490197772784139)	(33.0, 0.0029158726057386926)	(34.0, 0.0033202636970455185)	(35.0, 0.00445894387519895)	(36.0, 0.024518870378182293)	(37.0, 0.0774941033393765)	(38.0, 0.13828046948528677)	(39.0, 0.17708073050909434)	(40.0, 0.18941465879395253)	(41.0, 0.18143325567605464)	(42.0, 0.1659067661440373)	(43.0, 0.15050797906190633)	(44.0, 0.13832303696858222)	(45.0, 0.1348537870800026)	(46.0, 0.13469415901764464)	(47.0, 0.14047269487500272)	(48.0, 0.15729749264753146)	(49.0, 0.18631787438420816)	(50.0, 0.23624953228977727)	(51.0, 0.3094336779454889)	(52.0, 0.4040079839571669)	(53.0, 0.5393087296117718)	(54.0, 0.7338846957552982)	(55.0, 0.9898004053275758)	(56.0, 1.3283289581055087)	(57.0, 1.7552169643339828)	(58.0, 2.2956324485114363)	(59.0, 2.970263207519461)	(60.0, 3.7430652248776295)	(61.0, 4.551049267179491)	(62.0, 5.317945046230415)	(63.0, 6.038687031518242)	(64.0, 6.622106315694929)	(65.0, 6.999030738405362)	(66.0, 7.160478560674201)	(67.0, 7.061700715687097)	(68.0, 6.734314201661749)	(69.0, 6.210319124165518)	(70.0, 5.510797029300476)	(71.0, 4.686094607934323)	(72.0, 3.825007630221381)	(73.0, 3.024707018654348)	(74.0, 2.3374017914951017)	(75.0, 1.7648052899462843)	(76.0, 1.302203165232923)	(77.0, 0.9444447518762682)	(78.0, 0.6781106507674278)	(79.0, 0.4846201554479355)	(80.0, 0.35477868952597275)	(81.0, 0.2705269982134427)	(82.0, 0.20870837059761768)	(83.0, 0.16204376703497472)	(84.0, 0.12309451981963307)	(85.0, 0.09036012516542788)	(86.0, 0.06713956302775698)	(87.0, 0.046249570600512255)	(88.0, 0.028520213807955098)	(89.0, 0.0169525002224151)	(90.0, 0.010237479732557016)	(91.0, 0.005970089532187616)	(92.0, 0.003235128730454608)	(93.0, 0.0021922253897159513)	(94.0, 0.0020006717148864026)	(95.0, 0.0017133412026420784)	(96.0, 0.0013834432071022995)	(97.0, 0.0013834432071022995)	(98.0, 0.001809118040056853)	(99.0, 0.0035650267259943872)	(100.0, 0.01005656792855133)
SRR35891567_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 4.822744836287104e-05)	(25.0, 7.234117254430655e-05)	(26.0, 4.822744836287104e-05)	(27.0, 7.234117254430655e-05)	(28.0, 7.234117254430655e-05)	(29.0, 4.822744836287104e-05)	(30.0, 0.00012056862090717759)	(31.0, 0.00016879606927004863)	(32.0, 0.00021702351763291965)	(33.0, 0.00036170586272153276)	(34.0, 0.0005063882078101459)	(35.0, 0.0008680940705316786)	(36.0, 0.0021220077279663256)	(37.0, 0.0033518076612195375)	(38.0, 0.0043886978010212645)	(39.0, 0.005136223250645766)	(40.0, 0.005931976148633137)	(41.0, 0.010827062157464548)	(42.0, 0.016710810857734813)	(43.0, 0.022522218385460775)	(44.0, 0.029515198398077074)	(45.0, 0.03875075475956688)	(46.0, 0.05145868740318339)	(47.0, 0.06903759233144989)	(48.0, 0.09462225368795298)	(49.0, 0.1296836086477602)	(50.0, 0.18782179764920126)	(51.0, 0.26385236999326744)	(52.0, 0.36457539589912363)	(53.0, 0.508389646917205)	(54.0, 0.7007207109883348)	(55.0, 0.9583758538669733)	(56.0, 1.2980900001350368)	(57.0, 1.7236731182131921)	(58.0, 2.2621808066330105)	(59.0, 2.963938407761147)	(60.0, 3.7970916919539257)	(61.0, 4.659808401993144)	(62.0, 5.482448102442817)	(63.0, 6.285483345132982)	(64.0, 6.972411005889537)	(65.0, 7.342050283866761)	(66.0, 7.493725608967991)	(67.0, 7.43879454528268)	(68.0, 7.080344035325642)	(69.0, 6.503664321526611)	(70.0, 5.749194119337856)	(71.0, 4.8744687746562825)	(72.0, 3.9379881823460536)	(73.0, 3.0646373199428214)	(74.0, 2.320511905427903)	(75.0, 1.7029112016929762)	(76.0, 1.2033954052745397)	(77.0, 0.8148268538148876)	(78.0, 0.5472368565734976)	(79.0, 0.35237385146331723)	(80.0, 0.21943489005106323)	(81.0, 0.13691772590219087)	(82.0, 0.0846632856010201)	(83.0, 0.056064408721837586)	(84.0, 0.03988409979609435)	(85.0, 0.02886412784517832)	(86.0, 0.020786030244397416)	(87.0, 0.015143418785941505)	(88.0, 0.013045524782156617)	(89.0, 0.011116426847641775)	(90.0, 0.008729168153679658)	(91.0, 0.006438364356443283)	(92.0, 0.0044128115252027)	(93.0, 0.0032312390403123597)	(94.0, 0.0027971920050465205)	(95.0, 0.0020737802796034544)	(96.0, 0.0013985960025232602)	(97.0, 0.0010610038639831628)	(98.0, 0.0007957528979873722)	(99.0, 0.0008198666221688077)	(100.0, 0.0006751842770801945)
SRR35891567_2	(0.0, 4.82403837619009e-05)	(1.0, 2.412019188095045e-05)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 2.412019188095045e-05)	(5.0, 4.82403837619009e-05)	(6.0, 4.82403837619009e-05)	(7.0, 2.412019188095045e-05)	(8.0, 0.0)	(9.0, 2.412019188095045e-05)	(10.0, 2.412019188095045e-05)	(11.0, 2.412019188095045e-05)	(12.0, 7.236057564285136e-05)	(13.0, 7.236057564285136e-05)	(14.0, 4.82403837619009e-05)	(15.0, 0.00012060095940475226)	(16.0, 0.00024120191880950452)	(17.0, 0.0001929615350476036)	(18.0, 0.00016884134316665317)	(19.0, 0.0001929615350476036)	(20.0, 0.00016884134316665317)	(21.0, 0.000265322110690455)	(22.0, 0.0004100432619761577)	(23.0, 0.0005547644132618604)	(24.0, 0.0005065240294999595)	(25.0, 0.0003618028782142568)	(26.0, 0.0004100432619761577)	(27.0, 0.0005788846051428109)	(28.0, 0.0006512451807856621)	(29.0, 0.0008683269077142163)	(30.0, 0.0009165672914761171)	(31.0, 0.00106128844276182)	(32.0, 0.0014230913209760765)	(33.0, 0.0015678124722617794)	(34.0, 0.0020502163098807882)	(35.0, 0.0026773412987855)	(36.0, 0.0035697883983806665)	(37.0, 0.004534596073618685)	(38.0, 0.006030047970237613)	(39.0, 0.007477259483094641)	(40.0, 0.009430995025451626)	(41.0, 0.014520355512332172)	(42.0, 0.021008687128307845)	(43.0, 0.026146287998950288)	(44.0, 0.03318938402818782)	(45.0, 0.044646475171639284)	(46.0, 0.059769835480995216)	(47.0, 0.07810118131051756)	(48.0, 0.10366858470432502)	(49.0, 0.14110312250356014)	(50.0, 0.2003181935712935)	(51.0, 0.27892589891131103)	(52.0, 0.38430701723918353)	(53.0, 0.5342140097792906)	(54.0, 0.7256077323546324)	(55.0, 0.9824395355029929)	(56.0, 1.3302527024262985)	(57.0, 1.7538273920476692)	(58.0, 2.2901880989043644)	(59.0, 2.9764316781092854)	(60.0, 3.7784039379590073)	(61.0, 4.655944758971747)	(62.0, 5.496002801801489)	(63.0, 6.265243961268761)	(64.0, 6.93723250707204)	(65.0, 7.3206711974035095)	(66.0, 7.468286771714926)	(67.0, 7.403089893060717)	(68.0, 7.026163654537104)	(69.0, 6.444698188863033)	(70.0, 5.720320586294328)	(71.0, 4.84432345756197)	(72.0, 3.898401892566736)	(73.0, 3.044740061516137)	(74.0, 2.320434819523076)	(75.0, 1.7040915563891492)	(76.0, 1.2016679595089514)	(77.0, 0.8205206874061726)	(78.0, 0.5489273268266703)	(79.0, 0.3528784072183051)	(80.0, 0.2209650778213871)	(81.0, 0.1371715312269652)	(82.0, 0.0884005032436834)	(83.0, 0.059962797016042825)	(84.0, 0.04182441272156808)	(85.0, 0.030801485031973726)	(86.0, 0.023661908235212394)	(87.0, 0.017559499689331928)	(88.0, 0.014472115128570271)	(89.0, 0.01283194208066564)	(90.0, 0.010130480589999189)	(91.0, 0.007621980634380342)	(92.0, 0.006343610464689968)	(93.0, 0.0053064422138090995)	(94.0, 0.0038592307009520724)	(95.0, 0.0032321057120473606)	(96.0, 0.003111504752642608)	(97.0, 0.0023878989962140946)	(98.0, 0.0020502163098807882)	(99.0, 0.0028944230257140543)	(100.0, 0.02778646104685492)
