Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR28515580_1	(1.0, 48.35852180720445)	(2.0, 28.42803470640992)	(3.0, 13.471133947985564)	(4.0, 5.951206162867016)	(5.0, 2.2215188014404768)	(6.0, 0.8739110113303137)	(7.0, 0.34129839894273883)	(8.0, 0.14080891269507373)	(9.0, 0.07439831673832872)	('>10', 0.13916793438612712)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR28515580_2	(1.0, 49.41154339523721)	(2.0, 27.738206467656095)	(3.0, 13.34948890521045)	(4.0, 5.690248296563124)	(5.0, 2.313354647805062)	(6.0, 0.8374914389581896)	(7.0, 0.32604718086833445)	(8.0, 0.11531312029815968)	(9.0, 0.057492067781669556)	('>10', 0.1323269452634018)	('>50', 0.0)	('>100', 0.0)	('>500', 0.02848753435830516)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR34502717_1	(1.0, 16.444029877886525)	(2.0, 6.511590690054423)	(3.0, 5.864224557695227)	(4.0, 5.7633750911398804)	(5.0, 5.519390494855522)	(6.0, 5.250890226244703)	(7.0, 4.940896459178627)	(8.0, 4.481790027874767)	(9.0, 4.121592746678388)	('>10', 38.43481034864105)	('>50', 2.1408884532128014)	('>100', 0.5074449362531642)	('>500', 0.007499808813271413)	('>1k', 0.011576281471536054)	('>5k', 0.0)	('>10k+', 0.0)
SRR34502717_2	(1.0, 8.259998220407653)	(2.0, 5.83719717394705)	(3.0, 5.916444159750318)	(4.0, 5.963304360394684)	(5.0, 5.761391926355177)	(6.0, 5.486881625459985)	(7.0, 5.125001110635272)	(8.0, 4.837808443808004)	(9.0, 4.424125339682402)	('>10', 44.69029509687801)	('>50', 2.9568387037716017)	('>100', 0.6798954775456361)	('>500', 0.03159588041607026)	('>1k', 0.029222480948196444)	('>5k', 0.0)	('>10k+', 0.0)
SRR35497378_1	(1.0, 50.00734083810613)	(2.0, 26.97231751251723)	(3.0, 12.51782687285463)	(4.0, 5.188503114025353)	(5.0, 2.0572312467395713)	(6.0, 0.8168491984902102)	(7.0, 0.3610792755358563)	(8.0, 0.12288182659046024)	(9.0, 0.06647297272744168)	('>10', 0.137254763835566)	('>50', 0.03153677037771932)	('>100', 0.04228713851555392)	('>500', 0.09722881869300878)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 1.5811896509912802)
SRR35497378_2	(1.0, 55.301530442145896)	(2.0, 24.81273127156946)	(3.0, 10.995275510632867)	(4.0, 4.371850166301148)	(5.0, 1.7239218475185927)	(6.0, 0.6326675300587032)	(7.0, 0.22739918341893103)	(8.0, 0.10604792381949432)	(9.0, 0.0536566260219843)	('>10', 0.10533175431625162)	('>50', 0.020657195059866795)	('>100', 0.03370307236013731)	('>500', 0.03662797571267824)	('>1k', 0.04091070413903145)	('>5k', 0.0)	('>10k+', 1.5376887969249493)
SRR35891567_1	(1.0, 43.592162836573685)	(2.0, 22.536568922061587)	(3.0, 12.98167438318748)	(4.0, 7.616971759162696)	(5.0, 4.5428330117105915)	(6.0, 2.8291963065015198)	(7.0, 1.8201346236365739)	(8.0, 1.2568543796684775)	(9.0, 0.7843667228601606)	('>10', 1.9647991504310605)	('>50', 0.06354372034166532)	('>100', 0.010894183864495328)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR35891567_2	(1.0, 44.48052536696252)	(2.0, 22.26904747726001)	(3.0, 12.819943995564772)	(4.0, 7.4755116543395905)	(5.0, 4.514165570778294)	(6.0, 2.767618505210751)	(7.0, 1.7220023110770928)	(8.0, 1.1412090404070427)	(9.0, 0.7504474277501052)	('>10', 1.9315379899207583)	('>50', 0.06512156567820909)	('>100', 0.010257330886517714)	('>500', 0.0)	('>1k', 0.05261176416433966)	('>5k', 0.0)	('>10k+', 0.0)
