Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR28515580_1	(1, 0.0)	(2, 0.14649172273072134)	(3, 0.017624245432540136)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.00031415767259429837)	(10, 0.0)	(15, 0.00011937991558583337)	(20, 0.0)	(25, 1.2566306903771935e-05)	(30, 0.00023875983117166674)	(35, 0.0037133436900646066)	(40, 0.00034557343985372815)	(45, 0.00045867020198767555)	(50, 0.0001696451432009211)	(55, 0.00021362721736412288)	(60, 0.00042097128127635975)	(65, 0.0)	(70, 6.283153451885968e-06)	(75, 6.283153451885968e-06)	(80, 0.0)	(85, 0.0035311322399599132)	(90, 5.026522761508774e-05)	(95, 0.0004398207416320177)	(100, 0.0061197914621369314)	(105, 6.283153451885967e-05)	(110, 0.0029091000482232027)	(115, 0.0016587525112978954)	(120, 0.0014011432197705705)	(125, 8.168099487451757e-05)	(130, 0.002846268513704343)	(135, 0.00023247667771978078)	(140, 0.00030787451914241235)	(145, 0.00037070605366127204)	(150, 0.0002827419053348685)
SRR28515580_2	(1, 9.42473017782895e-05)	(2, 0.007037131866112283)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 9.42473017782895e-05)	(7, 0.0)	(8, 0.003015913656905264)	(9, 0.0)	(10, 0.00011309676213394741)	(15, 0.00038955551401692997)	(20, 0.00012566306903771934)	(25, 0.0021739710943525447)	(30, 1.88494603556579e-05)	(35, 0.0)	(40, 0.0004398207416320177)	(45, 0.0006408816520923686)	(50, 0.04744409171519094)	(55, 0.017611679125636368)	(60, 0.0033803365571146503)	(65, 0.0017341503527205269)	(70, 0.0007225626469668863)	(75, 0.00018221145010469304)	(80, 0.0006660142658999125)	(85, 0.0005215017365065352)	(90, 0.0002890250587867545)	(95, 0.0031667093397505274)	(100, 0.000188494603556579)	(105, 0.0004712365088914475)	(110, 0.0005215017365065352)	(115, 0.0005717669641216231)	(120, 0.00027017559843109655)	(125, 0.00035185659330561417)	(130, 0.0010304371661092986)	(135, 0.0017215840458167549)	(140, 0.0010807023937243862)	(145, 0.0006345984986404827)	(150, 4.712365088914475e-05)
SRR34502717_1	(1, 0.00010209855410069654)	(2, 0.08558921790261391)	(3, 1.0209855410069653e-05)	(4, 0.0011843432275680799)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0006718084859825833)	(20, 0.00019602922387333737)	(25, 4.2881392722292544e-05)	(30, 4.900730596833434e-05)	(35, 6.125913246041793e-06)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.00014293797574097515)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0001592737443970866)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 6.534307462444578e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR34502717_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.083942164027861e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 6.125913246041793e-06)	(105, 0.0)	(110, 2.0419710820139307e-06)	(115, 1.0209855410069653e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR35497378_1	(1, 1.2915275613207438)	(2, 0.0031284736432480196)	(3, 0.14563364041323942)	(4, 0.0015110314875551659)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 8.51285345101502e-05)	(10, 0.0)	(15, 0.0011662609227890575)	(20, 0.00011917994831421029)	(25, 2.5538560353045057e-05)	(30, 0.001953699867007947)	(35, 0.0030518579621888844)	(40, 0.00014897493539276285)	(45, 9.364138796116521e-05)	(50, 0.003537090608896741)	(55, 0.001872827759223304)	(60, 0.0004724633665313336)	(65, 0.0005703611812180063)	(70, 8.51285345101502e-06)	(75, 4.6820693980582604e-05)	(80, 0.00027241131043248063)	(85, 0.0004724633665313336)	(90, 0.0003617962716681383)	(95, 0.003358320686425425)	(100, 0.0009789781468667273)	(105, 0.0012258508969461626)	(110, 4.25642672550751e-05)	(115, 0.002545343181853491)	(120, 0.0028262673457369867)	(125, 0.00013194922849073278)	(130, 0.001536570047908211)	(135, 0.0)	(140, 0.0)	(145, 0.0006725154226301865)	(150, 0.0023410346990291302)
SRR35497378_2	(1, 2.476538043835662)	(2, 0.05773842853150937)	(3, 0.0007235925433362766)	(4, 0.03013550121659317)	(5, 0.00038307840529567584)	(6, 2.128213362753755e-05)	(7, 0.006640025691791714)	(8, 0.0)	(9, 0.0)	(10, 0.006239921579594009)	(15, 0.0010981580951809375)	(20, 0.005180071324942639)	(25, 0.000417129819099736)	(30, 0.0019281613066549018)	(35, 0.0014003643926919706)	(40, 0.0019920077075375143)	(45, 0.00012343637503971778)	(50, 0.003928681867643431)	(55, 0.007567926717952352)	(60, 0.001596160022065316)	(65, 0.0011407223624360127)	(70, 0.001051337401200355)	(75, 0.005422687648296567)	(80, 0.005827048187219781)	(85, 0.004213862458252435)	(90, 0.007167822605754646)	(95, 0.004779967212744933)	(100, 0.007997825817228611)	(105, 0.004367093820370705)	(110, 0.003818014772780236)	(115, 0.005614226850944405)	(120, 0.0034264235140335454)	(125, 0.007393413222206545)	(130, 0.0038392969064077738)	(135, 0.005460995488826135)	(140, 0.004954480708490742)	(145, 0.003473244208014128)	(150, 0.007619003838658442)
SRR35891567_1	(1, 0.005346468147443927)	(2, 0.0005346468147443927)	(3, 0.0)	(4, 0.00019441702354341554)	(5, 0.0)	(6, 0.0021871915148634247)	(7, 0.0)	(8, 0.0)	(9, 4.8604255885853885e-05)	(10, 3.8883404708683104e-05)	(15, 0.00014581276765756164)	(20, 0.0007582263918193205)	(25, 0.003995269833817189)	(30, 0.0336924701800739)	(35, 0.013755891490726155)	(40, 0.0014602334621259246)	(45, 0.0011400225373686234)	(50, 0.0006239914372775019)	(55, 0.0006929199392494643)	(60, 0.0009277823949872405)	(65, 0.0006061485953728375)	(70, 0.0024754386100519833)	(75, 0.003703028116955343)	(80, 0.002363148455045121)	(85, 0.002484351043319423)	(90, 0.0011305567972564631)	(95, 0.0016541693189991685)	(100, 0.0025436780579077183)	(105, 0.0040784153865083645)	(110, 0.0028089237529515952)	(115, 0.0038443372367557875)	(120, 0.0041690584985413755)	(125, 0.003321443758012734)	(130, 0.004145246239584072)	(135, 0.003823791310049872)	(140, 0.004382886130516945)	(145, 0.0022867401154270926)	
SRR35891567_2	(1, 0.01229687673912103)	(2, 0.004860425588585388)	(3, 0.0017983574677765935)	(4, 0.0007290638382878082)	(5, 0.0014095234206897625)	(6, 0.0006804595824019543)	(7, 0.0017497532118907397)	(8, 0.0008748766059453699)	(9, 0.0005346468147443927)	(10, 0.000913760010654053)	(15, 0.0006221344753389297)	(20, 0.0011956646947920053)	(25, 0.0046174043091561185)	(30, 0.034372929762475864)	(35, 0.015360996552190762)	(40, 0.0018301427034303395)	(45, 0.002601555164856751)	(50, 0.007634017964023984)	(55, 0.005836033230646474)	(60, 0.00535175378338718)	(65, 0.0043016530274936245)	(70, 0.003698448833379107)	(75, 0.00459448119539584)	(80, 0.004657663223885438)	(85, 0.003780527142957443)	(90, 0.0027035035242871943)	(95, 0.004263446323850792)	(100, 0.005057810378252243)	(105, 0.004206809105667934)	(110, 0.006231134745024933)	(115, 0.00728265726824058)	(120, 0.007186871769133856)	(125, 0.006603248957601572)	(130, 0.007951977232233608)	(135, 0.00822698901686982)	(140, 0.007845335612750231)	(145, 0.006965338306149319)	
