Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR28515580_1	(1, 35.91340652159913)	(2, 35.90205317746924)	(3, 36.127377113299396)	(4, 36.36017140442617)	(5, 36.446351137172236)	(6, 36.49559032582863)	(7, 36.444717517274746)	(8, 36.47821426495744)	(9, 36.533688855099484)	(10, 36.54277731090457)	(15, 36.5397878493237)	(20, 36.5076817519945)	(25, 36.46699292988158)	(30, 36.4341877060678)	(35, 36.40611979146213)	(40, 36.38035169951447)	(45, 36.34944298273861)	(50, 36.3511281244944)	(55, 36.29486908264389)	(60, 36.25850841078629)	(65, 36.26135976865429)	(70, 36.22899040719547)	(75, 36.22109449391555)	(80, 36.19029642347198)	(85, 36.16448133353649)	(90, 36.12454950575144)	(95, 36.100576762071114)	(100, 36.065644439487734)	(105, 36.05618464931365)	(110, 35.99271480923561)	(115, 35.969801970711075)	(120, 35.92350788457219)	(125, 35.90541705216431)	(130, 35.85005367383836)	(135, 35.79367430959924)	(140, 35.77626959754831)	(145, 35.757815724533984)	(150, 35.4169861911995)
SRR28515580_2	(1, 36.39713488202594)	(2, 36.33611572312028)	(3, 36.355890063664056)	(4, 36.41861792615096)	(5, 36.46280671606272)	(6, 36.452456791539106)	(7, 36.36528086481324)	(8, 36.39094691834885)	(9, 36.46120388361715)	(10, 36.43655959649588)	(15, 36.3978410456424)	(20, 36.35479051180998)	(25, 36.27960378434333)	(30, 36.22559901228827)	(35, 36.199950614413865)	(40, 36.15613190224042)	(45, 36.08883882611844)	(50, 36.04783037998941)	(55, 36.03772480730353)	(60, 36.02517100387513)	(65, 35.9693757215809)	(70, 35.94369012743806)	(75, 35.94220340766827)	(80, 35.92327785832431)	(85, 35.914212587355465)	(90, 35.893571737119146)	(95, 35.84408725415199)	(100, 35.79091895831599)	(105, 35.75727725828316)	(110, 35.71826503283733)	(115, 35.666216017957254)	(120, 35.65039026236879)	(125, 35.60960826109016)	(130, 35.55566562942275)	(135, 35.46555515587718)	(140, 35.47118285076097)	(145, 35.38684075190497)	(150, 34.937116786543996)
SRR34502717_1	(1, 30.115109585441072)	(2, 30.227362759634072)	(3, 31.933363030399438)	(4, 33.288240553994925)	(5, 33.70891886003289)	(6, 34.63530090179569)	(7, 34.720200750261014)	(8, 34.69159906551236)	(9, 34.90204480942182)	(10, 35.09011349071076)	(15, 35.21834835577425)	(20, 35.221687979059176)	(25, 35.11138170177462)	(30, 35.04537819244312)	(35, 35.02618613505719)	(40, 35.002866314807825)	(45, 34.99004780050106)	(50, 34.948997688284535)	(55, 34.93896299315388)	(60, 34.89645430099348)	(65, 34.897382866923316)	(70, 34.81144590134544)	(75, 34.754243307797125)	(80, 34.6919384819456)	(85, 34.60684574889187)	(90, 34.58904404919598)	(95, 34.4312942278174)	(100, 34.29006554522976)	(105, 34.191016266545844)	(110, 34.16672861326272)	(115, 34.008739064479116)	(120, 34.030098327033514)	(125, 33.945592088913955)	(130, 33.82522695998084)	(135, 33.76836459965422)	(140, 33.720181310696304)	(145, 33.67128574138559)	(150, 33.55263006896349)
SRR34502717_2	(1, 36.08078956487434)	(2, 36.546961148845604)	(3, 36.51990196905229)	(4, 36.616233996817385)	(5, 36.584733734117805)	(6, 36.66376516189053)	(7, 36.6525851660194)	(8, 36.63351397290182)	(9, 36.67587874694036)	(10, 36.649018659327545)	(15, 36.62664347532043)	(20, 36.61330638203767)	(25, 36.59627258598689)	(30, 36.573543855106635)	(35, 36.56176160028457)	(40, 36.54691095719641)	(45, 36.52635970259916)	(50, 36.49983596846298)	(55, 36.484761157789436)	(60, 36.470723872622656)	(65, 36.44600532260182)	(70, 36.408844144311004)	(75, 36.36932857336261)	(80, 36.305219992775505)	(85, 36.222598126409856)	(90, 36.14105001011797)	(95, 36.03851320818366)	(100, 35.96659108651035)	(105, 35.83331067426089)	(110, 35.73089534918624)	(115, 35.6097322587937)	(120, 35.55231221574486)	(125, 35.48410654269996)	(130, 35.38393352649018)	(135, 35.31142729898888)	(140, 35.22860148055155)	(145, 35.114684814616595)	(150, 35.08838794346762)
SRR35497378_1	(1, 30.955426060866476)	(2, 31.552813423578094)	(3, 35.33727904090788)	(4, 36.18477190979695)	(5, 36.33284426990257)	(6, 39.855855470476676)	(7, 39.99391054310515)	(8, 40.09901299848875)	(9, 40.107562670030944)	(10, 40.10561139632718)	(15, 40.100272475156835)	(20, 40.055633625515746)	(25, 39.96401604076976)	(30, 39.852070996346505)	(35, 39.813318869995314)	(40, 39.75303437468941)	(45, 39.68542878285136)	(50, 39.63976141025633)	(55, 39.60905963402818)	(60, 39.570009983448884)	(65, 39.519612826912194)	(70, 39.26395604643507)	(75, 38.87744393913565)	(80, 39.236589478496214)	(85, 39.24716418761734)	(90, 39.19027853418028)	(95, 39.119910819347254)	(100, 39.08670532779062)	(105, 39.02408852346046)	(110, 38.953573366005664)	(115, 38.89432458701488)	(120, 38.79730236186991)	(125, 38.750388750093904)	(130, 38.71632324751738)	(135, 38.6634842640968)	(140, 38.56058199825189)	(145, 38.41424225920915)	(150, 38.34723503584018)
SRR35497378_2	(1, 30.47311545110568)	(2, 31.25152012959968)	(3, 34.779858461042096)	(4, 35.56068717455627)	(5, 35.802808475482024)	(6, 38.83086386095786)	(7, 39.26384333625537)	(8, 39.20228391345237)	(9, 39.24527254645198)	(10, 39.251203153501436)	(15, 39.12947590404907)	(20, 38.83473278259428)	(25, 38.8741251606535)	(30, 38.820064071991496)	(35, 38.81033924359466)	(40, 38.56349011668355)	(45, 38.34929846638817)	(50, 38.280134852111516)	(55, 38.25764963947002)	(60, 38.126760984826475)	(65, 37.920944322320466)	(70, 37.638761788439844)	(75, 37.4151670530438)	(80, 37.783984002645795)	(85, 37.63986565014684)	(90, 37.52930015618957)	(95, 37.4440683182028)	(100, 37.358401132890535)	(105, 37.24779984238452)	(110, 37.1701828369382)	(115, 36.96861749344564)	(120, 36.833083246981076)	(125, 36.59757328343098)	(130, 36.35693215489903)	(135, 36.06617364475905)	(140, 35.65762537783768)	(145, 35.37917189941127)	(150, 35.08018086408442)
SRR35891567_1	(1, 31.549098318146935)	(2, 31.556897357046378)	(3, 31.647679900147416)	(4, 31.73890328384934)	(5, 31.745529988096816)	(6, 35.50869700252694)	(7, 35.505509049383384)	(8, 35.46859314495296)	(9, 35.55444041191135)	(10, 35.4873081164733)	(15, 35.43079351794202)	(20, 35.33036973743495)	(25, 35.25727962951892)	(30, 35.18352801768028)	(35, 35.12780912948214)	(40, 35.033582934930216)	(45, 34.91473542483455)	(50, 34.79020376984542)	(55, 34.648503602733555)	(60, 34.5050561376102)	(65, 34.39889513137759)	(70, 34.3059156842057)	(75, 34.22718473997614)	(80, 34.12095928002524)	(85, 34.02568914068097)	(90, 33.88547275239854)	(95, 33.71399431280837)	(100, 33.51856765978957)	(105, 33.290044375873514)	(110, 32.9723112913435)	(115, 32.620786721600396)	(120, 32.2933481431116)	(125, 31.955803887077487)	(130, 31.805395924376494)	(135, 31.57429561010195)	(140, 31.565281028618745)	(145, 30.048680649305368)	
SRR35891567_2	(1, 31.6930704426341)	(2, 31.584674203242585)	(3, 31.567552868064233)	(4, 31.592819790486494)	(5, 31.547968755240145)	(6, 35.38837619499639)	(7, 35.41056695406363)	(8, 35.36647171499631)	(9, 35.405085852127385)	(10, 35.30571581188792)	(15, 35.20248173330553)	(20, 35.102657048856514)	(25, 35.066883927690476)	(30, 34.95348679641087)	(35, 34.86945741650842)	(40, 34.71985964748718)	(45, 34.596553688330715)	(50, 34.46205867905781)	(55, 34.341111987425116)	(60, 34.240969227262795)	(65, 34.15276181711701)	(70, 34.086892203563934)	(75, 34.018958630597865)	(80, 33.865415823025764)	(85, 33.736984040108474)	(90, 33.60288377987415)	(95, 33.34893252250711)	(100, 33.022768720782196)	(105, 32.4008358496143)	(110, 31.910003076579056)	(115, 31.69448395756026)	(120, 31.328169734038518)	(125, 31.40456955310656)	(130, 31.263313177672227)	(135, 30.994631622718735)	(140, 31.145921109454985)	(145, 29.522573397523182)	
