Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR28515580_1	30.773019894149	64.0	151.0	151	9.090909090909092	3.183115
SRR28515580_2	30.166555320132545	64.0	151.0	151	9.090909090909092	3.183115
SRR34502717_1	70.81522910992122	63.0	150.0	150	27.27272727272727	9.794457999999999
SRR34502717_2	78.72867751892406	63.0	150.0	150	27.27272727272727	9.794457999999999
SRR35497378_1	30.4037387864676	65.0	150.0	150	18.181818181818183	4.698777
SRR35497378_2	27.024352744328027	65.0	150.0	150	18.181818181818183	4.698777
SRR35891567_1	36.865834428414935	65.0	145.57496210083147	147	9.090909090909092	2.057433
SRR35891567_2	36.25303806366327	65.0	145.57455139486925	147	9.090909090909092	2.057433
